Title,Price,Area,Rooms,Address,Owner Type,Owner Name,URL,Class
იყიდება 4 ოთახიანი ბინა ნუცუბიძის ფერდობზე,108000 $,84.4 m²,4.0,პ. დათუაშვილის ქ. 5,agent,ნინო,https://www.myhome.ge/pr/20661997/iyideba-4-otaxiani-bina-nutsubidzis-ferdobze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა ლისზე,168000 $,52.6 m²,2.0,ლისი ვერანდა 9,physical,გურამი,https://www.myhome.ge/pr/20618185/iyideba-2-otaxiani-bina-lisze/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა საბურთალოზე,308350 $,123.34 m²,3.0,"ვაჟა ფშაველას გამზირი #1-31, 2-20 25",agent,Sakeni Nds Georgia,https://www.myhome.ge/pr/20642998/iyideba-3-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 4 ოთახიანი ბინა საბურთალოზე,182410 $,107.3 m²,4.0,მ. ბურძგლას ქ. 68,physical,ირაკლი,https://www.myhome.ge/pr/20630351/iyideba-4-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა საბურთალოზე,127000 $,82 m²,3.0,პეკინის გამზ. ,agent,ნია,https://www.myhome.ge/pr/20580074/iyideba-3-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა ისანში,65000 $,52 m²,2.0,ბერი გაბრიელ სალოსის გამზ. ,physical,სალომე,https://www.myhome.ge/pr/19102490/iyideba-2-otaxiani-bina-isanshi/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა ნუცუბიძის ფერდობზე,73500 $,50 m²,2.0,ე. ამაშუკელის ქ. 38,physical,სალი,https://www.myhome.ge/pr/20512126/iyideba-2-otaxiani-bina-nutsubidzis-ferdobze/,SUPER_VIP
იყიდება 4 ოთახიანი ბინა დიდუბეში,166400 $,128 m²,4.0,თევდორე მღვდლის ქ. 51,physical,დდდდ,https://www.myhome.ge/pr/20352567/iyideba-4-otaxiani-bina-didubeshi/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა დიდ დიღომში,74000 $,50 m²,2.0,4000 მესხის ქ. ,physical,საბა,https://www.myhome.ge/pr/20601522/iyideba-2-otaxiani-bina-did-dighomshi/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა დიდუბეში,115000 $,94 m²,3.0,წერეთლის გამზ. 55,agent,ლალი,https://www.myhome.ge/pr/20082840/iyideba-3-otaxiani-bina-didubeshi/,SUPER_VIP
